# Exemplo fictício - linha 1 para pular
# Exemplo fictício - linha 2 para pular
# Exemplo fictício - linha 3 para pular
Data Operação;Status carregamento ;Tipo de carga ;Destino;Transportadora;TONS

01/06/2026;Separado;Entrada;PORTO BELO - SC;COOCATRANS S.A;5
02/06/2026;Separado;Entrada;PORTO BELO - SC;COOCATRANS S.A;4
03/06/2026;Separado;Entrada;PORTO BELO - SC;COOCATRANS S.A;6
04/06/2026;Separando;Saida;PORTO BELO - SC;COOCATRANS S.A;5
05/06/2026;Separando;Saida;PORTO BELO - SC;COOCATRANS S.A;4
06/06/2026;Separando;Saida;PORTO BELO - SC;COOCATRANS S.A;6

07/06/2026;Doca;Entrada;FOZ DO IGUAÇU - PR;BBT TRANSPORTES LTDA;7
08/06/2026;Doca;Entrada;FOZ DO IGUAÇU - PR;BBT TRANSPORTES LTDA;3
09/06/2026;Doca;Entrada;FOZ DO IGUAÇU - PR;BBT TRANSPORTES LTDA;4
10/06/2026;Doca;Saida;FOZ DO IGUAÇU - PR;BBT TRANSPORTES LTDA;7
11/06/2026;Doca;Saida;FOZ DO IGUAÇU - PR;BBT TRANSPORTES LTDA;3
12/06/2026;Doca;Saida;FOZ DO IGUAÇU - PR;BBT TRANSPORTES LTDA;4

13/06/2026;Transito;Entrada;CURITIBA - PR;TRANSP EXEMPLO;10
14/06/2026;Transito;Entrada;CURITIBA - PR;TRANSP EXEMPLO;8
15/06/2026;Transito;Entrada;CURITIBA - PR;TRANSP EXEMPLO;9
16/06/2026;Transito;Saida;CURITIBA - PR;TRANSP EXEMPLO;10
17/06/2026;Transito;Saida;CURITIBA - PR;TRANSP EXEMPLO;8
18/06/2026;Transito;Saida;CURITIBA - PR;TRANSP EXEMPLO;9

19/06/2026;Patio;Entrada;ICARA - SC;MEATIMPEX LOGISTICA LTDA;12
20/06/2026;Patio;Entrada;ICARA - SC;MEATIMPEX LOGISTICA LTDA;6
21/06/2026;Patio;Entrada;ICARA - SC;MEATIMPEX LOGISTICA LTDA;7
22/06/2026;Patio;Saida;ICARA - SC;MEATIMPEX LOGISTICA LTDA;12
23/06/2026;Patio;Saida;ICARA - SC;MEATIMPEX LOGISTICA LTDA;6
24/06/2026;Patio;Saida;ICARA - SC;MEATIMPEX LOGISTICA LTDA;7

25/06/2026;Liberado;Entrada;CASCAVEL - PR;TRANSP RÁPIDO;11
26/06/2026;Liberado;Entrada;CASCAVEL - PR;TRANSP RÁPIDO;5
27/06/2026;Liberado;Entrada;CASCAVEL - PR;TRANSP RÁPIDO;9
28/06/2026;Liberado;Saida;CASCAVEL - PR;TRANSP RÁPIDO;11
29/06/2026;Liberado;Saida;CASCAVEL - PR;TRANSP RÁPIDO;5
30/06/2026;Liberado;Saida;CASCAVEL - PR;TRANSP RÁPIDO;9
01/07/2026;Separado;Saida;PORTO BELO - SC;COOCATRANS S.A;5
02/07/2026;Separado;Saida;PORTO BELO - SC;COOCATRANS S.A;4
03/07/2026;Separado;Saida;PORTO BELO - SC;COOCATRANS S.A;6
04/07/2026;Separando;Entrada;PORTO BELO - SC;COOCATRANS S.A;5
05/07/2026;Separando;Entrada;PORTO BELO - SC;COOCATRANS S.A;4
06/07/2026;Separando;Entrada;PORTO BELO - SC;COOCATRANS S.A;6
